Title	Author	Published At	Source	URL	
The 25 best new horror movies of 2024 (so far)	Caralynn Matassa	2024-11-01T15:32:56Z	Business Insider	https://www.businessinsider.com/best-new-horror-movies-2024	Recommended Viewings: “The Substance” by Coralie Fargeat	Staff	2024-10-31T13:00:54Z	Booooooom.com	https://www.booooooom.com/2024/10/31/recommended-viewings-the-substance-by-coralie-fargeat/
Blade Runner 2049 producer sues Elon Musk for image used in Cybercab launch	Mariella Moon	2024-10-22T12:00:48Z	Yahoo Entertainment	https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_0b877ae6-74d4-4a87-a926-ace1decc0ef7										
The Substance is the best body horror of 2024 and it's finally got a streaming date on Mubi	lucy.buglass@futurenet.com (Lucy Buglass)	2024-10-25T09:18:32Z	TechRadar	https://www.techradar.com/streaming/the-substance-is-the-best-body-horror-of-2024-and-its-finally-got-a-streaming-date-on-mubi										
Kevin Feige Says Marvel Is Still Committed to Getting Blade Into the MCU	Gordon Jackson	2024-11-12T14:00:03Z	Gizmodo.com	https://gizmodo.com/kevin-feige-blade-marvel-mcu-update-mahershala-ali-2000523295										
The Wild Robot‘s Creators Reveal the Secret Behind the Film’s Best Scene	Germain Lussier	2024-10-24T21:40:24Z	Gizmodo.com	https://gizmodo.com/the-wild-robots-creators-reveal-the-secret-behind-the-films-best-scene-2000516184										
Simon Pegg says ‘The Final Reckoning’ is the best ‘Mission: Impossible’ movie yet	Joe Allen	2024-11-17T15:26:29Z	Digital Trends	https://www.digitaltrends.com/movies/simon-pegg-mission-impossible-final-reckoning-best-yet/										
Zoe Saldaña Would Do Things Differently With Gamora if Given the Chance	Isaiah Colbert	2024-10-21T22:45:49Z	Gizmodo.com	https://gizmodo.com/zoe-saldana-would-do-things-differently-with-gamora-if-given-the-chance-2000514708										
New 'Star Wars' Trilogy In the Works	BeauHD	2024-11-08T10:00:00Z	Slashdot.org	https://entertainment.slashdot.org/story/24/11/08/0641215/new-star-wars-trilogy-in-the-works										
Venom 3 Dances to a Decent Opening Weekend With Overseas Help	Justin Carter	2024-10-27T20:00:32Z	Gizmodo.com	https://gizmodo.com/venom-last-dance-box-office-2000517029										
Robert Zemeckis Just Wants to Move You	Stephanie Zacharek	2024-11-01T14:39:09Z	Time	https://time.com/7160896/robert-zemeckis-interview-here/										
Barbarian proved word-of-mouth horror hits are still possible — but it’s disappearing from streaming	Tasha Robinson	2024-10-26T06:32:08Z	Polygon	https://www.polygon.com/what-to-watch/470739/barbarian-leaving-streaming-best-horror-2024										
'John Wick' producers wanted an alternate ending where the puppy lived	Jason Guerrasio	2024-10-23T21:14:15Z	Business Insider	https://www.businessinsider.com/john-wick-producers-wanted-alternate-ending-puppy-lived-2024-10										
'John Wick' at 10: Chad Stahelski and David Leitch on fighting for Keanu Reeves' beard and how Eva Longoria saved the movie	Jason Guerrasio	2024-10-21T12:25:02Z	Business Insider	https://www.businessinsider.com/john-wick-keanu-reeves-popularity-chad-stahelski-david-leitch-interview-2024-10										
io9 Meets the Real Hero of the Venom Franchise: Mrs. Chen	Gordon Jackson	2024-10-30T19:35:36Z	Gizmodo.com	https://gizmodo.com/io9-meets-the-real-hero-of-the-venom-franchise-mrs-chen-2000518274										
The Substance Might Not Be For Everyone, But I Want To Talk About The Visceral Self Love Message That's Still Giving Me Chills	Sarah El-Mahmoud	2024-10-26T15:04:00Z	CinemaBlend	https://www.cinemablend.com/movies/the-substance-might-not-be-for-everyone-but-i-want-to-talk-about-visceral-self-love-message-still-giving-me-chills										
Legendary Cult Movie Street Trash Has a Squishy New Sequel	Cheryl Eddy	2024-11-19T15:00:44Z	Gizmodo.com	https://gizmodo.com/street-trash-remake-interview-ryan-kruger-2000526156										
Finally, a Holocaust Movie With No Lessons	Gal Beckerman	2024-11-01T17:16:00Z	The Atlantic	https://www.theatlantic.com/culture/archive/2024/11/real-pain-holocaust-movie-jesse-eisenberg-kieran-culkin-no-lessons/680490/										
Heretic’s directors unpack its ambiguous ending	Tasha Robinson	2024-11-08T22:53:54Z	Polygon	https://www.polygon.com/horror/476433/heretic-ending-explained-by-directors										
This Disgusting Demi Moore Movie Just Became A New Horror Classic	Evan E. Lambert	2024-10-21T16:00:46Z	Thoughtcatalog.com	https://thoughtcatalog.com/evan-lambert/2024/10/this-disgusting-demi-moore-movie-just-became-a-new-horror-classic/										
Transformers One, Trap, Netflix’s Don’t Move, and every movie new to streaming this week	Toussaint Egan, Petrana Radulovic	2024-10-25T18:44:34Z	Polygon	https://www.polygon.com/entertainment/467855/new-movies-watch-streaming-transformers-one-trap-netflix-dont-move										
Is the horror movie Heretic about current American politics? The directors say of course it is	Tasha Robinson	2024-11-07T23:20:13Z	Polygon	https://www.polygon.com/horror/476025/heretic-directors-interview-religion-politics-state-of-america										
Where Do We Think Terrifier‘s Art the Clown Came From?	Germain Lussier	2024-10-29T20:15:31Z	Gizmodo.com	https://gizmodo.com/terrifier-art-the-clown-origin-story-horror-2000518044										
How 2 key characters in 'Woman of the Hour' are based on people who had brushes with Dating Game killer Rodney Alcala	Olivia Singh	2024-10-24T22:29:35Z	Business Insider	https://www.businessinsider.com/amy-laura-woman-of-the-hour-real-people-2024-10										
'Smile 2' has a brutal ending that blows the horror franchise's potential future wide open	Caralynn Matassa	2024-10-23T22:07:32Z	Business Insider	https://www.businessinsider.com/smile-2-ending-explained-2024-10										
Harrison Ford Sees Nothing Wrong With Starring in a Marvel Movie	Isaiah Colbert	2024-11-04T21:00:08Z	Gizmodo.com	https://gizmodo.com/harrison-ford-sees-nothing-wrong-with-starring-in-a-marvel-movie-2000520283										
Venom 3 set to win weekend box office, but there’s a battle for second spot	Trevor Mogg	2024-11-01T05:50:29Z	Digital Trends	https://www.digitaltrends.com/movies/venom-3-to-win-weekend-box-office-but-what-will-place-second/										
This overlooked 1999 movie is the closest Martin Scorsese ever got to making a horror film	Joe Allen	2024-10-28T13:00:31Z	Digital Trends	https://www.digitaltrends.com/movies/bringing-out-the-dead-overlooked-as-a-horror-movie/										
Tim Dillon Says ‘Joker 2’ Might Have Been One Big Prank on the Audience	Keegan Kelly	2024-11-12T01:30:00Z	Cracked.com	https://www.cracked.com/article_44344_tim-dillon-says-joker-2-might-have-been-one-big-prank-on-the-audience.html										
